Bornholdt baseline run (lattice or network)
params: {'topology': 'lattice', 'L': 32, 'n': None, 'net_params': {'m': 2, 'k': 4, 'p': 0.1}, 'J': 1.0, 'alpha': 8.0, 'T': 1.5, 'seed': 0, 'n_steps': 20000, 'burn_in': 10000, 'thin': 1, 'eps': 1e-06}
columns: t,M,r,abs_r,C_mean,chartist_frac,fundamentalist_frac
1.012600000000000000e+04,-1.621093750000000000e-01,4.115042821722199040e-01,4.115042821722199040e-01,1.621093750000000000e-01,4.189453125000000000e-01,5.810546875000000000e-01
1.012700000000000000e+04,-1.503906250000000000e-01,-7.503470527004418855e-02,7.503470527004418855e-02,1.503906250000000000e-01,4.248046875000000000e-01,5.751953125000000000e-01
1.012800000000000000e+04,-1.660156250000000000e-01,9.884520881936031955e-02,9.884520881936031955e-02,1.660156250000000000e-01,4.169921875000000000e-01,5.830078125000000000e-01
1.012900000000000000e+04,-1.425781250000000000e-01,-1.521908251791612710e-01,1.521908251791612710e-01,1.425781250000000000e-01,4.287109375000000000e-01,5.712890625000000000e-01
1.013000000000000000e+04,-8.007812500000000000e-02,-5.768819003912115662e-01,5.768819003912115662e-01,8.007812500000000000e-02,4.599609375000000000e-01,5.400390625000000000e-01
1.013100000000000000e+04,-9.375000000000000000e-02,1.576271230864549899e-01,1.576271230864549899e-01,9.375000000000000000e-02,4.531250000000000000e-01,5.468750000000000000e-01
1.013200000000000000e+04,-1.601562500000000000e-01,5.355138136295300999e-01,5.355138136295300999e-01,1.601562500000000000e-01,4.199218750000000000e-01,5.800781250000000000e-01
1.013300000000000000e+04,-2.304687500000000000e-01,3.639634722921032406e-01,3.639634722921032406e-01,2.304687500000000000e-01,3.847656250000000000e-01,6.152343750000000000e-01
1.013400000000000000e+04,-2.363281250000000000e-01,2.510581355344521093e-02,2.510581355344521093e-02,2.363281250000000000e-01,3.818359375000000000e-01,6.181640625000000000e-01
1.013500000000000000e+04,-1.152343750000000000e-01,-7.182486551585798296e-01,7.182486551585798296e-01,1.152343750000000000e-01,4.423828125000000000e-01,5.576171875000000000e-01
1.013600000000000000e+04,-8.203125000000000000e-02,-3.398643131489120783e-01,3.398643131489120783e-01,8.203125000000000000e-02,4.589843750000000000e-01,5.410156250000000000e-01
1.013700000000000000e+04,-6.054687500000000000e-02,-3.036780882074667787e-01,3.036780882074667787e-01,6.054687500000000000e-02,4.697265625000000000e-01,5.302734375000000000e-01
1.013800000000000000e+04,-9.765625000000000000e-02,4.780295248979289369e-01,4.780295248979289369e-01,9.765625000000000000e-02,4.511718750000000000e-01,5.488281250000000000e-01
1.013900000000000000e+04,-1.132812500000000000e-01,1.484185927179457742e-01,1.484185927179457742e-01,1.132812500000000000e-01,4.433593750000000000e-01,5.566406250000000000e-01
1.014000000000000000e+04,-1.171875000000000000e-01,3.390125742536165276e-02,3.390125742536165276e-02,1.171875000000000000e-01,4.414062500000000000e-01,5.585937500000000000e-01
